postTitle,postDescription,text,likesCount,facebookUrl,clean_text,sentiment_textblob,score_textblob,sentiment_bert,score_bert,modeles_accord
,,"Bonjour la communauté, moi je suis Congolaise résidant à l'Etats Unis Amérique,sans vous mentir l'HÉPATITE n'est pas une maladie qu'on traite à l'hôpital,tu seras fatigué des ordonnances pour des dépenses inutiles mais aucune satisfaction .Pour tous vos problème lié à l'HÉPATITE,rejoindre ce docteur traditionnel béninois. C'est lui qui m'a aidé à trouver de la guérison totale pour mon cas à l'aide de ces produits purement naturels. Il est vraiment spécialisé dans son domaine et encore sérieux dans son travail.En cas de besoin contacter lui sur WhatsApp en cliquant 
https://wa.me/message/Z5KYQPHAMV6OI1
NB : Il traite aussi les autres maladies comme Kyste, myome, Fibrome, Règle douloureuse, faiblesse sexuelle, tomber enceinte, mauvaise haleine et surtout VIH/SIDA..",0,https://web.facebook.com/photo?fbid=1279224137579289&set=a.454658450035866&locale=fr_FR,bonjour communaut congolaise rsidant letats unis amriquesans mentir lhpatite nest maladie quon traite lhpitaltu fatigu ordonnances dpenses inutiles aucune satisfaction tous problme li lhpatiterejoindre docteur traditionnel bninois cest aid trouver gurison totale ca laide produits purement naturels vraiment spcialis domaine encore srieux travailen ca besoin contacter whatsapp cliquant nb traite aussi autres malady comme kyste myome fibrome rgle douloureuse faiblesse sexuelle tomber enceinte mauvaise haleine surtout vihsida,Neutre,0.0,Positif,0.3619,False
,,So lébé credit expresso ndax dinga ko mana dougeul connexion,0,https://web.facebook.com/photo/?fbid=1259306272904409&set=a.454658450035866&locale=fr_FR,so lb credit expresso ndax dinga ko mana dougeul connexion,Neutre,0.0,Neutre,0.3492,True
,,Vous êtes meilleures,0,https://web.facebook.com/photo/?fbid=1259306272904409&set=a.454658450035866&locale=fr_FR,meilleures,Neutre,0.0,Positif,0.4674,False
,,Mère  opérateur,0,https://web.facebook.com/photo/?fbid=1259306272904409&set=a.454658450035866&locale=fr_FR,mre oprateur,Neutre,0.0,Neutre,0.252,True
,,Ken meunoul connecté wou normalement ndakh réseau bou bone,2,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,ken meunoul connect wou normalement ndakh rseau bou bone,Neutre,0.0,Neutre,0.3125,True
,,Sama connexion bi danko nangou ndakh date bi dafa diot pourquoi pas renouvellement ?,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,sama connexion bi danko nangou ndakh date bi dafa diot pourquoi renouvellement,Neutre,0.0,Neutre,0.3423,True
,,Je me forme....vous pouvez rajouter ce quatrième élément il me semble.....tout nest pas amusement.....et il serait bien de contribuer à inculquer cette réalité aux gens.....dans you tube et autre il ya plein de vidéos de formation et dans tous les domaines......,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,formevous pouvez rajouter quatrime lment sembletout nest amusementet bien contribuer inculquer cette ralit gensdans you tube autre ya plein vidos formation tous domaines,Neutre,0.0,Positif,0.3392,False
,,"Mome nékhna trop surtout bou 3000f bi ohh

Mes le problème est que sou courant coupé do ame réseau sougnou côté fii",0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,mome nkhna trop surtout bou f bi ohh problme sou courant coup do ame rseau sougnou ct fii,Neutre,0.0,Négatif,0.4413,False
,,Da ngay ame connexion té doko meune utilisé depuis hier,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,da ngay ame connexion doko meune utilis depuis hier,Neutre,0.0,Positif,0.4708,False
,,"Expresso ne couvre pas toutes les zones à 30 kms de Mbour tu n'arrives pas à répondre aux appels zéro couverture de réseaux connexion n'y penses même pas.
Et ce qui m'étonne quand il y'a coupure d'électricité si le wifi saute tu perds parallèlement le réseau expresso. Je ne sais pourquoi pourquoi cette interdépendance. 
A la question : je regarde canal+ les matchs rfi YouTube...",0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,expresso couvre toutes zone km mbour narrives rpondre appels zro couverture rseaux connexion ny penses mme mtonne quand ya coupure dlectricit si wifi saute perds paralllement rseau expresso sais pourquoi pourquoi cette interdpendance a question regarde canal match rfi youtube,Neutre,0.0,Négatif,0.5902,False
,,"Game ak réseaux sociaux yi nio may ray surtout X , WhatsApp ak Facebook  bur 3000 bi sou amoul wone rk mou niaw‍↕️2019 ba leguii yen lay topou",0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,game ak rseaux sociaux yi nio may ray surtout x whatsapp ak facebook bur bi sou amoul wone rk mou niaw ba leguii yen lay topou,Négatif,-0.4,Négatif,0.375,True
,,"Expresso perd sa valeur, refaites votre posture. J'attends toujours mes sms",0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,expresso perd valeur refaites posture jattends toujours sm,Neutre,0.0,Négatif,0.4539,False
,,"Mani nguene ga si promo 5000=50 gigas 

Dano yakamti

Man j'ai acheté ma puce le premier jour de votre démarrage",1,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,mani nguene ga si promo gigas dano yakamti man jai achet puce premier jour dmarrage,Neutre,0.0,Négatif,0.4997,False
,,Votre service client reste vraiment à désirer. Depuis deux semaines je cours derrière vous parceque j’arrive pas à passer des appels avec ma puce. Mais toujours le meme refrain fait attendre 72h. Sur ce coup vous êtes vraiment incompétent.,0,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,service client reste vraiment dsirer depuis deux semaines cours derrire parceque jarrive passer appels puce toujours meme refrain fait attendre h coup vraiment incomptent,Neutre,0.0,Négatif,0.5267,False
,,Nenalen Expresso moy Sénégal,0,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,nenalen expresso moy sngal,Neutre,0.0,Négatif,0.4443,False
,,10 ans de fidélité.,0,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,an fidlit,Neutre,0.0,Positif,0.7595,False
,,J'active chaque moi mon forfait buur 5000f,0,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,jactive chaque forfait buur f,Négatif,-0.1333,Positif,0.8138,False
,,Personnellement mom merénalen lol sah,1,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,personnellement mom mernalen lol sah,Positif,0.8,Positif,0.2867,True
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,"Slt Mr ou Mme l'administrateur du compte je des problème dépasse des appels avec mon Sim expresso alors que j'ai du crédit il ne passe même plus .
Le réseau est normal mais les appels ne passe pas",0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,slt mr mme ladministrateur compte problme dpasse appels sim expresso alors jai crdit passe mme plus rseau normal appels passe,Positif,0.15,Négatif,0.3991,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Nou ni  kholé ni sa puce mi gui sa tour,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,nou ni khol ni puce mi gui tour,Neutre,0.0,Négatif,0.4254,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Wa Expresso ay arnaqeur laniou diende pass internet illimité ga connecte 3 jours gniou coupe ko c'est grave,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,wa expresso ay arnaqeur laniou diende pas internet illimit ga connecte jours gniou coupe ko cest grave,Neutre,0.0,Négatif,0.874,False
,,"La green zone 
Poumon vert du Sénégal 
La terre des guerriers 
Terroir des braves femmes
La Casamance, Ziguinchor, escale, rond point Jean Paul 2",0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,green zone poumon vert sngal terre guerriers terroir brave femmes casamance ziguinchor escale rond point jean paul,Négatif,-0.2,Positif,0.355,False
,,"Salut comment ça va , vous avez coupé mon numéro qu'est ce qui se passe ?",1,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,salut comment a va coup numro quest passe,Neutre,0.0,Négatif,0.2795,False
,,#N°CNI ça veut dire quoi quoi je vais me identifier,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,cni a veut dire quoi quoi vais identifier,Neutre,0.0,Positif,0.3456,False
,,Beaucoup le font mais ça ne passe pas il faut revoir le système.,1,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,beaucoup font a passe faut revoir systme,Neutre,0.0,Négatif,0.4273,False
,,Man mom depuis 2015 ba legui magui utiliser expresso bobou 500f lako dieundon tay gniou djeki djeki rék gnouni ma daguay identifier puce bi wala gnou bloqué la ma rotthi puce bi ndank deme wouti puce orange togue di khar bloqué nak,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,man mom depuis ba legui magui utiliser expresso bobou f lako dieundon tay gniou djeki djeki rk gnouni daguay identifier puce bi wala gnou bloqu rotthi puce bi ndank deme wouti puce orange togue di khar bloqu nak,Neutre,0.0,Négatif,0.5416,False
,,J'ai envoyé sms m on m demande allé vers les locaux,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,jai envoy sm demande all vers locaux,Neutre,0.0,Négatif,0.5229,False
,,Expresso Senegal dama beugone récupérer sama puce. Bane agence moma geuna diégue. J'habite à niary Tally,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,expresso senegal dama beugone rcuprer sama puce bane agence moma geuna digue jhabite niary tally,Neutre,0.0,Négatif,0.5451,False
,,"Thieuy napanté biiexpresso di napé, utilisateur yi di napé",0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,thieuy napant biiexpresso di nap utilisateur yi di nap,Neutre,0.0,Négatif,0.3677,False
,,Comment savoir si la puce est identifié,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,comment savoir si puce identifi,Neutre,0.0,Neutre,0.2925,True
,,Esque  çà marche pour CNI Guinée ?,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,esque marche cni guine,Neutre,0.0,Négatif,0.3661,False
,,Réseau,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,rseau,Neutre,0.0,Positif,0.3578,False
,,"Super connexion avec les réseaux sociaux vraiment merci Expresso Senegal 
L'homme au 3puces expresso Moussa Dione Le Sénégalais",1,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,super connexion rseaux sociaux vraiment merci expresso senegal lhomme puce expresso moussa dione sngalais,Positif,0.3333,Positif,0.7248,True
,,Yénamaay wéteuli sayouma néké hors de chez moi ✅♥️,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,ynamaay wteuli sayouma nk hors chez,Neutre,0.0,Négatif,0.3101,False
,,Sene réseau bii  nimou bone eupena,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,sene rseau bii nimou bone eupena,Neutre,0.0,Neutre,0.2891,True
,,Je suis fatigué des nombreux SMS de pub que vous m’envoyez à longueur de journée parfois je suis obligé de désactiver mon numéro Expresso pour avoir la paix avec mon téléphone faites quelque chose sinon vous risquez de perdre un fidèle client,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,fatigu nombreux sm pub menvoyez longueur journe parfois oblig dsactiver numro expresso avoir paix tlphone faites quelque chose sinon risquez perdre fidle client,Neutre,0.0,Négatif,0.4374,False
,,11 ans de fidélité,0,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,an fidlit,Neutre,0.0,Positif,0.6321,False
,,3 puce Expresso Senegal dit mieux ??,2,https://web.facebook.com/photo/?fbid=1243536627814707&set=a.454658450035866&locale=fr_FR,puce expresso senegal dit mieux,Neutre,0.0,Négatif,0.3315,False
,,Vous devez régler d'abord votre connexion internet c'est vraiment très lent,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,devez rgler dabord connexion internet cest vraiment trs lent,Neutre,0.0,Négatif,0.6292,False
,,Comment savoir si le numéro est identifié pour être sure?,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,comment savoir si numro identifi tre sure,Positif,0.5,Neutre,0.3287,False
,,On puce je l’ai depuis 2016 mais chaque que j’essaye ça ne marche pas,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,puce lai depuis chaque jessaye a marche,Neutre,0.0,Négatif,0.5669,False
,,"J'arrive pas , j'ai essayé plusieurs fois",0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,jarrive jai essay plusieurs fois,Neutre,0.0,Négatif,0.5993,False
,,C’est fait ✅,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,cest fait,Neutre,0.0,Positif,0.4296,False
,,Thiès réseau bi bakhoul,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,this rseau bi bakhoul,Neutre,0.0,Positif,0.3049,False
,,fékhéléne am réseau bou bakh d'abord,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,fkhlne am rseau bou bakh dabord,Neutre,0.0,Neutre,0.2512,True
,,J'ai essayé mais ça ne marche pas,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,jai essay a marche,Neutre,0.0,Négatif,0.5327,False
,,Mais ça ne marche pas,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,a marche,Neutre,0.0,Négatif,0.5635,False
,,Expresso Senegal Dou nguén morom gars yi dé thiow léfi neh rék,0,https://web.facebook.com/photo/?fbid=1233143675520669&set=a.454658450035866&locale=fr_FR,expresso senegal dou ngun morom gar yi thiow lfi neh rk,Neutre,0.0,Négatif,0.4277,False
,,Da nguen di yoke sen forfaits yi noumoulen nekher sans aviser clients yi sen 25 go monekone 2000f  pour 15 jrs legui 25 go c'est à 2500f 5go,0,https://web.facebook.com/photo/?fbid=1233143675520669&set=a.454658450035866&locale=fr_FR,da nguen di yoke sen forfaits yi noumoulen nekher sans aviser client yi sen go monekone f jr legui go cest f go,Neutre,0.0,Négatif,0.3109,False
,,Ensuite 5go à 2000f pour 7jours 5000f 30go yéne kane nguen yabe la khamoul,0,https://web.facebook.com/photo/?fbid=1233143675520669&set=a.454658450035866&locale=fr_FR,ensuite go f jours f go yne kane nguen yabe khamoul,Neutre,0.0,Négatif,0.4674,False
,,Votre réseau ne marche pas à Saly aérodrome mbour,0,https://web.facebook.com/photo/?fbid=1240534338114936&set=a.454658450035866&locale=fr_FR,rseau marche saly arodrome mbour,Neutre,0.0,Négatif,0.7767,False
